NorthVehicles,SouthVehicles,EastVehicles,WestVehicles,NorthWaitingTime,SouthWaitingTime,EastWaitingTime,WestWaitingTime,TimeOfDay,Weather,Emergency,TrafficDensity,CongestionLevel,GreenSignalTime,BestRoad
42,33,55,48,87,72,118,98,Evening,Clear,None,Very High,High,50,East
36,41,47,48,80,95,94,109,Evening,Clear,None,Very High,High,40,West
39,34,33,37,81,74,66,89,Evening,Clear,None,High,High,40,West
9,12,4,3,26,26,10,19,Night,Clear,None,Low,Low,20,South
31,37,47,46,71,89,109,103,Evening,Clear,None,Very High,High,40,East
24,29,15,34,62,67,45,83,Afternoon,Clear,None,High,High,30,West
36,26,33,21,120,99,119,86,Morning,Foggy,None,High,Very High,40,North
28,25,27,28,82,81,83,78,Afternoon,Rainy,None,High,High,30,West
0,13,6,15,1,30,20,34,Night,Clear,None,Low,Low,20,West
31,16,21,22,66,32,55,58,Afternoon,Clear,None,Medium,Medium,30,North
24,26,18,27,52,55,46,65,Afternoon,Clear,None,Medium,Medium,30,West
33,14,33,17,70,30,79,43,Afternoon,Clear,None,Medium,Medium,30,East
20,27,56,46,68,72,171,126,Evening,Rainy,None,High,Very High,50,East
28,30,27,36,63,69,61,77,Afternoon,Clear,None,High,High,40,West
48,52,24,24,137,157,71,68,Morning,Rainy,None,High,Very High,50,South
36,33,29,33,117,101,94,108,Evening,Rainy,None,High,Very High,40,North
23,26,20,21,85,86,71,72,Afternoon,Foggy,None,Medium,High,30,South
33,25,50,36,102,81,147,114,Evening,Rainy,North,High,Very High,30,North
31,24,19,22,71,63,44,57,Afternoon,Clear,None,Medium,Medium,30,North
1,5,8,7,21,16,25,31,Night,Rainy,None,Low,Low,10,West
43,47,17,16,132,140,59,54,Morning,Rainy,None,High,High,40,South
8,10,4,0,27,54,12,6,Night,Foggy,None,Low,Low,10,South
27,38,44,42,58,87,97,86,Evening,Clear,None,High,High,40,East
48,45,25,31,101,99,65,64,Morning,Clear,None,High,High,40,North
30,35,43,32,69,77,86,77,Evening,Clear,None,High,High,40,East
29,21,37,37,70,48,78,86,Evening,Clear,None,High,High,40,West
22,33,22,16,58,70,55,33,Afternoon,Clear,None,Medium,Medium,30,South
29,35,48,35,111,124,159,124,Evening,Foggy,None,High,Very High,40,East
42,17,47,37,95,45,103,84,Evening,Clear,None,High,High,40,East
38,36,19,29,84,72,40,58,Morning,Clear,None,High,High,40,North
32,34,25,23,66,69,54,56,Morning,Clear,None,High,High,30,South
13,10,9,8,34,22,32,23,Night,Clear,None,Medium,Low,20,North
32,31,36,37,76,70,86,83,Evening,Clear,None,High,High,40,East
28,26,45,48,87,72,126,139,Evening,Rainy,None,High,Very High,40,West
48,33,35,26,111,72,79,62,Morning,Clear,None,High,High,40,North
29,24,22,27,73,51,48,62,Afternoon,Clear,None,High,Medium,30,North
33,32,22,24,78,75,57,60,Morning,Clear,None,High,High,30,North
51,42,20,27,155,128,66,89,Morning,Rainy,None,High,Very High,50,North
49,29,26,7,108,64,53,27,Morning,Clear,None,High,High,40,North
8,10,7,10,16,26,14,33,Night,Clear,None,Low,Low,10,West
37,49,9,27,116,170,40,85,Morning,Foggy,None,High,Very High,40,South
30,42,41,40,60,94,84,86,Evening,Clear,None,High,High,40,South
28,16,44,54,70,39,96,122,Evening,Clear,None,High,High,50,West
7,5,5,4,16,21,17,13,Night,Clear,None,Low,Low,10,South
25,29,20,32,54,72,47,79,Afternoon,Clear,None,High,High,30,West
43,38,18,15,86,83,46,30,Morning,Clear,None,High,High,40,North
19,20,21,23,64,60,59,82,Afternoon,Rainy,None,Medium,High,30,West
27,21,19,19,61,54,45,39,Afternoon,Clear,None,Medium,Medium,30,North
3,13,14,9,21,41,38,24,Night,Clear,None,Low,Medium,20,South
29,33,34,42,67,80,75,97,Evening,Clear,None,High,High,40,West
48,35,33,40,137,112,102,117,Evening,Rainy,None,High,Very High,40,North
31,31,18,32,102,91,66,95,Afternoon,Rainy,North,High,High,30,North
52,52,25,14,119,116,51,43,Morning,Clear,None,High,High,50,South
42,21,38,36,126,72,105,105,Evening,Rainy,None,High,Very High,40,North
25,29,26,19,56,63,67,39,Afternoon,Clear,None,Medium,Medium,30,South
21,29,39,38,57,69,84,90,Evening,Clear,None,High,High,40,West
46,42,23,13,159,144,83,58,Morning,Foggy,None,High,Very High,40,North
34,29,36,31,81,67,83,67,Afternoon,Clear,None,High,High,40,East
50,39,21,25,113,86,53,57,Morning,Clear,None,High,High,40,North
26,35,49,28,56,75,107,62,Evening,Clear,None,High,High,40,East
12,18,23,38,36,45,51,82,Afternoon,Clear,None,Medium,Medium,40,West
56,42,33,25,113,90,67,59,Morning,Clear,None,High,High,50,North
1,0,11,10,6,11,33,34,Night,Clear,None,Low,Low,10,West
52,30,15,11,112,74,38,28,Morning,Clear,None,High,High,50,North
5,4,6,15,17,20,16,41,Night,Rainy,None,Low,Low,20,West
18,38,31,35,42,79,70,83,Evening,Clear,None,High,High,30,West
34,33,34,49,80,77,69,100,Evening,Clear,None,High,High,40,West
40,40,24,22,147,125,91,80,Morning,Foggy,None,High,Very High,40,North
27,42,53,41,57,90,111,90,Evening,Clear,None,Very High,High,50,East
19,20,31,24,43,52,77,63,Afternoon,Clear,None,Medium,Medium,30,East
26,36,19,18,62,80,38,41,Afternoon,Clear,None,Medium,Medium,40,South
4,5,1,7,12,12,3,22,Night,Clear,None,Low,Low,10,West
46,28,18,10,142,99,63,44,Morning,Foggy,None,High,High,40,North
33,52,28,13,76,107,58,26,Morning,Clear,None,High,High,50,South
30,31,14,26,69,72,29,60,Morning,Clear,None,High,Medium,30,South
47,54,32,12,103,120,68,28,Morning,Clear,None,High,High,50,South
21,20,41,35,76,74,130,97,Evening,Rainy,None,High,High,40,East
27,18,27,30,63,48,66,65,Afternoon,Clear,None,High,High,30,West
25,17,21,29,54,43,48,67,Afternoon,Clear,None,Medium,Medium,30,West
41,46,33,18,89,105,70,46,Morning,Clear,None,High,High,40,South
40,36,11,32,88,78,27,73,Morning,Clear,None,High,High,40,North
23,21,28,22,46,46,66,49,Afternoon,Clear,None,Medium,Medium,30,East
6,3,2,8,18,15,19,22,Night,Clear,None,Low,Low,10,West
14,0,3,15,42,4,15,39,Night,Clear,None,Low,Low,20,West
14,5,6,12,32,25,20,36,Night,Clear,None,Low,Low,20,West
38,33,14,8,79,67,41,31,Morning,Clear,None,Medium,Medium,40,North
18,29,37,38,38,60,77,88,Evening,Clear,None,High,High,40,West
39,26,31,30,79,57,63,62,Morning,Clear,None,High,High,40,North
42,33,27,19,113,108,83,51,Morning,Rainy,None,High,High,40,North
47,46,26,27,107,98,65,68,Morning,Clear,None,High,High,40,North
40,21,37,38,82,49,83,84,Evening,Clear,None,High,High,40,West
31,33,52,49,77,79,113,103,Evening,Clear,None,Very High,High,50,East
25,24,49,43,64,57,111,98,Evening,Clear,None,High,High,40,East
26,22,31,34,55,54,65,70,Evening,Clear,None,High,High,30,West
7,10,6,6,29,23,21,26,Night,Clear,None,Low,Low,10,South
45,27,32,17,100,57,68,43,Morning,Clear,None,High,High,40,North
36,54,24,25,76,120,59,50,Morning,Clear,None,High,High,50,South
37,40,57,37,87,90,115,83,Evening,Clear,None,Very High,High,50,East
31,33,12,22,75,78,26,46,Afternoon,Clear,None,Medium,Medium,30,South
42,15,41,46,139,48,127,161,Evening,Foggy,None,High,Very High,40,West
25,22,16,23,59,46,39,50,Afternoon,Clear,None,Medium,Medium,30,North
45,30,58,38,94,70,120,89,Evening,Clear,None,Very High,High,50,East
4,7,8,6,20,27,18,27,Night,Clear,None,Low,Low,10,West
28,33,46,54,62,74,101,113,Evening,Clear,None,Very High,High,50,West
10,4,1,7,27,20,22,24,Night,Rainy,None,Low,Low,10,North
34,19,23,32,106,52,71,91,Afternoon,Rainy,None,High,High,30,North
43,33,18,18,96,81,46,40,Morning,Clear,None,High,High,40,North
22,23,12,21,62,75,52,64,Afternoon,Rainy,None,Medium,High,30,South
24,23,25,27,75,62,71,86,Afternoon,Rainy,None,Medium,High,30,West
1,9,9,11,12,33,20,29,Night,Clear,None,Low,Low,20,West
23,25,27,36,51,57,56,85,Afternoon,Clear,None,High,High,40,West
6,0,9,0,21,4,31,3,Night,Clear,None,Low,Low,10,East
2,1,2,0,15,13,11,12,Night,Clear,None,Low,Low,10,North
12,0,11,12,39,15,33,35,Night,Clear,North,Low,Medium,20,North
11,8,9,8,33,29,20,29,Night,Clear,None,Low,Low,20,North
30,49,33,23,65,110,81,51,Morning,Clear,None,High,High,40,South
45,41,44,34,147,139,150,117,Evening,Foggy,None,Very High,Very High,40,East
29,18,28,12,87,64,87,43,Afternoon,Rainy,None,Medium,High,30,North
23,22,33,26,79,67,91,83,Afternoon,Rainy,None,High,High,30,East
35,29,23,15,77,64,47,44,Morning,Clear,None,High,Medium,30,North
49,40,21,17,111,93,49,43,Morning,Clear,None,High,High,40,North
8,0,7,6,31,5,24,28,Night,Rainy,None,Low,Low,10,North
29,22,25,21,59,46,56,55,Afternoon,Clear,None,Medium,Medium,30,North
11,0,1,9,34,0,11,24,Night,Clear,None,Low,Low,20,North
7,5,2,8,16,24,9,21,Night,Clear,None,Low,Low,10,West
15,23,35,32,31,49,77,76,Afternoon,Clear,None,High,Medium,30,East
48,32,19,14,102,70,46,37,Morning,Clear,None,High,High,40,North
37,25,48,51,77,51,99,105,Evening,Clear,East,Very High,High,40,East
37,34,50,48,83,76,100,108,Evening,Clear,None,Very High,High,40,West
4,0,5,8,23,7,25,20,Night,Clear,None,Low,Low,10,West
34,21,15,21,70,46,30,57,Afternoon,Clear,None,Medium,Medium,30,North
4,2,11,9,16,16,24,31,Night,Clear,None,Low,Low,10,West
54,38,31,28,145,110,98,95,Morning,Rainy,None,High,Very High,50,North
16,21,31,23,39,46,75,61,Afternoon,Clear,None,Medium,Medium,30,East
37,33,21,18,89,78,45,49,Afternoon,Clear,None,High,High,40,North
32,35,48,53,73,70,100,108,Evening,Clear,None,Very High,High,50,West
30,15,28,21,70,33,61,43,Afternoon,Clear,None,Medium,Medium,30,North
33,36,48,37,72,84,103,74,Evening,Clear,None,High,High,40,East
18,27,32,34,41,64,70,68,Afternoon,Clear,None,High,High,30,West
20,29,27,20,47,66,58,45,Afternoon,Clear,None,Medium,Medium,30,South
32,42,26,24,69,96,61,51,Morning,Clear,None,High,High,40,South
36,36,25,25,103,116,78,75,Morning,Rainy,None,High,High,40,South
43,32,32,31,125,90,101,102,Evening,Rainy,None,High,Very High,40,North
8,11,3,10,20,29,16,27,Night,Clear,None,Low,Low,20,South
39,25,37,41,122,71,116,112,Evening,Rainy,None,High,Very High,40,West
15,25,16,34,43,62,47,80,Afternoon,Clear,None,Medium,Medium,30,West
2,6,0,0,14,16,2,10,Night,Clear,None,Low,Low,10,South
40,42,20,13,84,95,42,32,Morning,Clear,None,High,High,40,South
28,30,33,27,67,72,70,56,Afternoon,Clear,North,High,High,30,North
40,38,43,40,92,83,95,88,Evening,Clear,None,Very High,High,40,East
25,23,42,29,57,47,93,60,Evening,Clear,None,High,High,40,East
21,33,15,23,43,71,35,56,Afternoon,Clear,None,Medium,Medium,30,South
40,27,25,31,83,56,65,66,Morning,Clear,None,High,High,40,North
30,23,25,21,74,61,53,56,Afternoon,Clear,None,Medium,High,30,North
7,9,10,4,16,25,23,17,Night,Clear,None,Low,Low,10,East
44,17,43,46,126,62,120,125,Evening,Rainy,None,High,Very High,40,West
28,35,37,42,82,99,109,129,Evening,Rainy,None,High,Very High,40,West
28,35,18,29,57,79,40,65,Afternoon,Clear,None,High,High,30,South
24,22,13,22,85,74,44,60,Afternoon,Rainy,None,Medium,High,30,North
18,31,19,33,50,64,42,77,Afternoon,Clear,None,High,Medium,30,West
19,30,43,47,60,99,153,165,Evening,Foggy,East,High,Very High,40,East
32,28,20,16,74,61,55,43,Afternoon,Clear,None,Medium,Medium,30,North
35,45,34,17,84,96,70,42,Morning,Clear,None,High,High,40,South
5,0,3,10,23,12,9,27,Night,Clear,None,Low,Low,10,West
53,26,15,15,106,52,33,40,Morning,Clear,None,High,Medium,50,North
37,33,32,26,78,74,79,55,Morning,Clear,None,High,High,40,North
21,42,50,28,74,117,135,81,Evening,Rainy,None,High,Very High,40,East
26,17,38,42,53,45,86,98,Evening,Clear,None,High,High,40,West
31,20,26,24,67,46,63,50,Afternoon,Clear,None,High,Medium,30,North
25,45,40,42,58,101,90,93,Evening,Clear,None,High,High,40,South
33,42,48,35,99,132,148,97,Evening,Rainy,None,High,Very High,40,East
48,31,17,22,108,77,40,57,Morning,Clear,None,High,High,40,North
19,39,44,49,52,93,93,111,Evening,Clear,None,High,High,40,West
5,0,3,8,14,4,6,18,Night,Clear,South,Low,Low,10,South
26,24,43,36,62,61,101,80,Evening,Clear,None,High,High,40,East
26,26,40,46,78,71,110,133,Evening,Rainy,None,High,High,40,West
50,37,23,18,112,80,53,43,Morning,Clear,None,High,High,40,North
48,35,25,10,101,77,61,33,Morning,Clear,None,High,High,40,North
24,19,45,42,66,59,141,116,Evening,Rainy,None,High,High,40,East
44,26,29,12,92,55,62,32,Morning,Clear,None,High,High,40,North
26,36,16,27,54,86,36,66,Afternoon,Clear,None,High,High,40,South
44,22,41,28,139,68,117,82,Evening,Rainy,None,High,Very High,40,North
24,21,23,30,79,66,68,87,Afternoon,Rainy,None,Medium,High,30,West
35,35,17,26,82,76,41,52,Morning,Clear,None,High,High,30,North
40,25,35,49,124,75,109,149,Evening,Rainy,None,High,Very High,40,West
0,9,1,8,13,21,13,24,Night,Clear,None,Low,Low,10,West
38,42,17,17,114,128,52,55,Morning,Rainy,None,High,High,40,South
25,23,19,19,55,52,48,50,Afternoon,Clear,None,Medium,Medium,30,North
32,24,27,28,68,58,59,67,Afternoon,Clear,None,High,High,30,North
13,3,8,13,36,22,22,37,Night,Rainy,None,Low,Low,20,West
32,33,23,28,101,102,62,76,Afternoon,Rainy,None,High,High,30,South
9,8,7,5,26,17,21,17,Night,Clear,None,Low,Low,10,North
38,30,41,39,84,62,92,90,Evening,Clear,North,High,High,40,North
47,37,15,14,108,74,31,31,Morning,Clear,None,High,High,40,North
52,39,26,20,113,92,53,48,Morning,Clear,None,High,High,50,North
39,33,33,45,87,81,77,101,Evening,Clear,None,High,High,40,West
14,12,9,3,39,36,21,13,Night,Clear,None,Low,Low,20,North
50,46,14,23,109,104,42,53,Morning,Clear,None,High,High,40,North
29,16,35,17,63,35,81,36,Afternoon,Clear,None,Medium,Medium,30,East
46,47,19,25,101,103,40,65,Morning,Clear,None,High,High,40,South
46,47,24,20,98,99,57,41,Morning,Clear,None,High,High,40,South
36,43,44,47,80,89,101,100,Evening,Clear,None,Very High,High,40,West
15,15,29,30,31,35,71,72,Afternoon,Clear,None,Medium,Medium,30,West
21,17,28,21,48,44,66,53,Afternoon,Clear,East,Medium,Medium,30,East
29,47,22,29,62,108,51,61,Morning,Clear,None,High,High,40,South
19,32,31,30,52,75,66,66,Afternoon,Clear,None,High,High,30,South
40,25,50,35,83,61,109,79,Evening,Clear,None,High,High,40,East
33,33,20,21,78,70,50,57,Afternoon,Clear,None,High,High,30,North
18,32,13,26,63,89,47,75,Afternoon,Rainy,None,Medium,High,30,South
47,51,24,30,94,116,50,60,Morning,Clear,None,High,High,50,South
40,50,19,25,80,105,44,50,Morning,Clear,None,High,High,40,South
44,35,50,34,92,83,108,69,Evening,Clear,None,Very High,High,40,East
38,50,31,14,81,108,73,31,Morning,Clear,None,High,High,40,South
43,38,9,11,122,109,41,33,Morning,Rainy,None,High,High,40,North
42,38,47,37,145,131,151,125,Evening,Foggy,None,Very High,Very High,40,East
53,38,31,31,170,122,110,108,Morning,Foggy,None,High,Very High,50,North
34,21,52,39,80,46,107,93,Evening,Clear,None,High,High,50,East
27,26,50,42,63,57,114,90,Evening,Clear,None,High,High,40,East
0,1,11,9,3,7,22,30,Night,Clear,None,Low,Low,10,West
2,0,2,3,9,4,15,16,Night,Clear,None,Low,Low,10,West
21,33,31,29,56,91,91,97,Afternoon,Rainy,None,High,High,30,West
32,13,33,27,72,41,74,65,Afternoon,Clear,None,High,High,30,East
28,19,35,12,64,52,83,25,Afternoon,Clear,None,Medium,Medium,30,East
0,15,0,7,11,45,6,29,Night,Clear,None,Low,Low,20,South
1,7,13,3,13,25,37,6,Night,Clear,None,Low,Low,20,East
19,39,57,32,47,84,118,69,Evening,Clear,None,High,High,50,East
26,28,34,41,83,87,109,126,Evening,Rainy,None,High,Very High,40,West
32,41,11,13,93,120,32,49,Morning,Rainy,East,Medium,High,40,South
9,3,10,2,27,7,26,7,Night,Clear,None,Low,Low,10,East
26,20,41,48,57,44,96,103,Evening,Clear,None,High,High,40,West
38,31,29,47,88,66,63,108,Evening,Clear,None,High,High,40,West
25,39,34,52,99,137,125,172,Evening,Foggy,None,High,Very High,50,West
17,26,35,37,35,54,70,84,Evening,Clear,None,High,High,40,West
25,40,31,31,51,84,73,64,Evening,Clear,None,High,High,40,South
9,11,6,9,21,33,27,25,Night,Clear,None,Low,Low,20,South
37,29,36,47,76,65,74,104,Evening,Clear,None,High,High,40,West
38,36,36,38,77,82,80,82,Evening,Clear,None,High,High,40,West
19,37,24,32,47,84,59,72,Afternoon,Clear,None,High,High,40,South
21,19,15,26,52,38,42,58,Afternoon,Clear,None,Medium,Medium,30,West
33,33,26,32,89,90,74,87,Morning,Rainy,None,High,High,30,West
49,41,36,15,106,82,82,39,Morning,Clear,None,High,High,40,North
28,25,53,35,66,54,113,70,Evening,Clear,None,High,High,50,East
45,52,28,20,139,145,79,64,Morning,Rainy,None,High,Very High,50,South
31,31,29,23,67,67,61,55,Afternoon,Clear,None,High,High,30,North
37,33,21,10,76,81,51,24,Morning,Clear,None,High,Medium,40,North
23,20,32,20,52,55,65,48,Afternoon,Clear,None,Medium,Medium,30,East
29,37,20,17,69,88,44,39,Morning,Clear,None,High,High,40,South
13,8,8,6,31,19,17,21,Night,Clear,None,Low,Low,20,North
37,39,51,49,81,85,112,111,Evening,Clear,None,Very High,High,40,West
49,41,11,24,106,84,24,52,Morning,Clear,None,High,High,40,North
23,20,56,43,58,43,125,86,Evening,Clear,None,High,High,50,East
48,31,31,24,98,69,71,59,Morning,Clear,None,High,High,40,North
51,35,29,12,104,75,68,26,Morning,Clear,None,High,High,50,North
38,22,57,48,81,46,120,110,Evening,Clear,None,Very High,High,50,East
53,28,9,29,118,71,33,72,Morning,Clear,None,High,High,50,North
8,8,5,6,24,28,20,12,Night,Clear,None,Low,Low,10,South
33,26,49,39,75,56,100,78,Evening,Clear,None,High,High,40,East
21,38,31,46,50,79,69,99,Evening,Clear,None,High,High,40,West
19,24,30,18,53,60,72,51,Afternoon,Clear,None,Medium,Medium,30,East
25,31,48,42,51,77,100,92,Evening,Clear,None,High,High,40,East
5,8,9,4,25,24,30,22,Night,Clear,None,Low,Low,10,East
29,46,35,25,97,161,114,97,Morning,Foggy,None,High,Very High,40,South
33,15,24,24,76,45,62,53,Afternoon,Clear,None,Medium,Medium,30,North
35,21,19,17,77,52,53,41,Afternoon,Clear,None,Medium,Medium,30,North
30,32,31,23,64,74,68,53,Morning,Clear,None,High,High,30,South
19,25,31,27,40,52,74,68,Afternoon,Clear,None,High,Medium,30,East
25,20,39,40,59,52,79,89,Evening,Clear,None,High,High,40,West
30,29,30,31,62,73,63,69,Afternoon,Clear,None,High,High,30,West
34,30,20,21,71,66,43,55,Morning,Clear,None,High,Medium,30,North
9,5,0,0,27,20,20,18,Night,Foggy,None,Low,Low,10,North
31,24,22,33,69,50,58,72,Afternoon,Clear,None,High,High,30,West
43,32,31,12,100,69,73,34,Morning,Clear,None,High,High,40,North
43,22,43,40,136,79,124,114,Evening,Rainy,None,High,Very High,40,North
28,29,35,46,64,63,74,104,Evening,Clear,None,High,High,40,West
11,0,0,11,23,12,6,29,Night,Clear,None,Low,Low,20,West
35,22,34,40,114,78,105,114,Evening,Rainy,None,High,Very High,40,West
9,14,6,0,40,56,25,18,Night,Rainy,None,Low,Medium,20,South
48,23,48,53,140,68,136,153,Evening,Rainy,None,Very High,Very High,50,West
3,4,1,0,16,21,6,9,Night,Clear,None,Low,Low,10,South
31,23,25,36,68,46,64,83,Afternoon,Clear,None,High,High,40,West
39,45,17,21,92,103,40,53,Morning,Clear,None,High,High,40,South
2,8,7,14,14,31,18,39,Night,Rainy,None,Low,Low,20,West
25,18,33,19,54,37,68,51,Afternoon,Clear,None,Medium,Medium,30,East
42,19,47,39,92,46,103,82,Evening,Clear,South,High,High,40,East
6,8,5,9,21,20,22,29,Night,Clear,None,Low,Low,10,West
32,16,22,29,95,44,62,94,Afternoon,Rainy,None,Medium,High,30,North
19,18,46,36,48,40,101,72,Evening,Clear,None,High,High,40,East
39,39,35,48,139,125,128,165,Evening,Foggy,None,Very High,Very High,40,West
21,22,41,41,43,47,96,83,Evening,Clear,None,High,High,40,East
26,27,26,30,70,87,79,82,Afternoon,Rainy,None,High,High,30,West
27,36,46,38,62,87,104,80,Evening,Clear,None,High,High,40,East
9,12,1,9,22,27,8,30,Night,Clear,None,Low,Low,10,West
31,22,25,29,70,49,59,72,Afternoon,Clear,None,High,High,30,West
18,22,18,32,38,52,39,79,Afternoon,Clear,None,Medium,Medium,30,West
49,46,25,14,106,100,56,42,Morning,Clear,None,High,High,40,North
20,32,37,44,52,64,76,99,Evening,Clear,None,High,High,40,West
32,23,45,52,119,85,145,173,Evening,Foggy,None,High,Very High,50,West
43,46,19,29,99,101,41,66,Morning,Clear,None,High,High,40,South
7,2,8,0,15,17,27,6,Night,Clear,None,Low,Low,10,East
36,32,23,21,83,66,59,56,Afternoon,Clear,None,High,High,40,North
40,21,56,32,81,44,120,73,Evening,Clear,None,High,High,50,East
33,33,48,31,101,98,141,85,Evening,Rainy,None,High,Very High,40,East
17,24,21,20,56,78,67,63,Afternoon,Rainy,None,Medium,High,30,South
36,21,14,28,76,48,32,60,Afternoon,Clear,None,Medium,Medium,40,North
25,31,32,18,53,66,65,44,Afternoon,Clear,None,High,Medium,30,East
6,11,0,13,18,34,7,36,Night,Clear,None,Low,Low,20,West
29,19,51,53,65,45,114,118,Evening,Clear,None,High,High,50,West
30,17,32,20,95,49,93,72,Afternoon,Rainy,None,Medium,High,30,East
44,35,22,14,103,81,54,36,Morning,Clear,None,High,High,40,North
43,40,35,38,94,88,77,78,Evening,Clear,None,High,High,40,North
42,43,24,24,87,87,55,56,Morning,Clear,None,High,High,40,South
4,0,3,1,14,2,19,12,Night,Clear,None,Low,Low,10,East
25,20,25,16,53,54,52,40,Afternoon,Clear,None,Medium,Medium,30,North
44,33,25,14,91,78,57,35,Morning,Clear,None,High,High,40,North
40,35,50,33,85,70,106,78,Evening,Clear,None,High,High,40,East
22,24,29,51,59,61,61,111,Evening,Clear,None,High,High,50,West
47,45,25,14,126,125,82,45,Morning,Rainy,None,High,High,40,North
26,34,37,38,52,71,87,78,Evening,Clear,None,High,High,40,West
37,24,50,39,86,59,107,92,Evening,Clear,North,High,High,40,North
14,19,31,20,33,40,70,42,Afternoon,Clear,None,Medium,Medium,30,East
30,29,28,28,63,62,66,63,Afternoon,Clear,None,High,High,30,West
33,33,22,15,75,80,56,37,Morning,Clear,None,High,High,30,South
32,32,26,32,69,71,60,69,Morning,Clear,None,High,High,30,West
0,5,5,0,7,19,19,9,Night,Clear,None,Low,Low,10,South
53,41,29,17,159,121,94,54,Morning,Rainy,None,High,Very High,50,North
35,20,27,28,77,41,67,60,Afternoon,Clear,None,High,High,30,North
32,22,17,16,75,57,48,38,Afternoon,Clear,None,Medium,Medium,30,North
32,17,15,18,75,46,30,50,Afternoon,Clear,None,Medium,Medium,30,North
32,17,20,34,73,36,49,75,Afternoon,Clear,None,High,Medium,30,West
15,15,25,32,41,31,51,73,Afternoon,Clear,None,Medium,Medium,30,West
23,32,36,50,75,97,116,149,Evening,Rainy,None,High,Very High,40,West
22,32,35,33,51,71,83,67,Evening,Clear,None,High,High,30,East
37,34,49,34,99,94,147,94,Evening,Rainy,None,High,Very High,40,East
44,31,19,21,99,64,51,46,Morning,Clear,None,High,High,40,North
34,28,13,27,76,71,27,58,Morning,Clear,None,High,Medium,30,North
48,45,23,25,108,100,46,58,Morning,Clear,None,High,High,40,North
28,22,35,25,68,54,77,50,Afternoon,Clear,None,High,High,30,East
35,16,15,33,77,46,30,72,Afternoon,Clear,None,Medium,Medium,30,North
15,29,17,27,38,64,43,61,Afternoon,Clear,West,Medium,Medium,30,West
8,0,0,8,27,2,11,18,Night,Clear,None,Low,Low,10,North
18,21,44,44,43,55,96,89,Evening,Clear,None,High,High,40,West
15,32,22,28,34,67,55,65,Afternoon,Clear,None,Medium,Medium,30,South
22,14,29,24,63,43,78,76,Afternoon,Rainy,None,Medium,High,30,East
28,35,18,33,56,82,49,79,Afternoon,Clear,None,High,High,30,South
51,35,32,26,102,75,75,64,Morning,Clear,None,High,High,50,North
32,24,41,36,68,59,89,84,Evening,Clear,None,High,High,40,East
31,23,24,26,63,48,61,67,Afternoon,Clear,South,High,Medium,30,South
18,27,38,38,46,65,86,76,Evening,Clear,None,High,High,40,East
41,29,33,29,142,94,124,113,Evening,Foggy,None,High,Very High,40,North
38,41,36,20,120,145,111,63,Morning,Foggy,None,High,Very High,40,South
16,23,30,30,40,47,75,72,Afternoon,Clear,None,Medium,Medium,30,West
26,19,34,44,58,51,71,101,Evening,Clear,None,High,High,40,West
30,29,52,44,98,78,140,125,Evening,Rainy,None,High,Very High,50,East
51,39,27,22,152,112,79,67,Morning,Rainy,None,High,Very High,50,North
18,32,19,21,45,66,45,56,Afternoon,Clear,None,Medium,Medium,30,South
29,40,37,15,65,83,74,43,Morning,Clear,None,High,High,40,South
25,31,22,36,62,72,56,80,Afternoon,Clear,None,High,High,40,West
21,38,51,32,59,103,148,98,Evening,Rainy,None,High,Very High,50,East
2,1,1,7,25,5,17,18,Night,Rainy,None,Low,Low,10,West
6,12,7,8,17,37,18,39,Night,Rainy,None,Low,Low,20,South
0,0,14,8,11,13,40,26,Night,Clear,None,Low,Low,20,East
41,32,48,46,84,79,106,104,Evening,Clear,None,Very High,High,40,East
37,15,19,15,118,51,56,58,Afternoon,Rainy,None,Medium,High,40,North
32,19,29,38,69,51,60,79,Evening,Clear,None,High,High,40,West
14,10,0,2,37,28,6,6,Night,Rainy,None,Low,Low,20,North
35,29,47,40,73,64,108,87,Evening,Clear,None,High,High,40,East
6,10,10,6,18,20,35,15,Night,Clear,None,Low,Low,10,East
50,38,37,27,153,116,116,76,Morning,Rainy,None,High,Very High,40,North
39,40,38,33,87,85,87,72,Evening,Clear,None,High,High,40,South
21,36,29,37,68,103,97,103,Evening,Rainy,None,High,High,40,West
4,5,6,7,24,32,32,36,Night,Rainy,None,Low,Medium,10,West
37,45,36,8,78,105,85,18,Morning,Clear,None,High,High,40,South
56,42,17,17,179,137,75,68,Morning,Foggy,None,High,Very High,50,North
42,43,32,36,85,99,68,73,Evening,Clear,None,High,High,40,South
40,52,17,30,112,145,47,99,Morning,Rainy,None,High,Very High,50,South
23,18,35,20,61,39,84,52,Afternoon,Clear,None,Medium,Medium,30,East
33,20,39,44,79,40,83,91,Evening,Clear,None,High,High,40,West
19,19,30,18,66,58,94,64,Afternoon,Rainy,North,Medium,High,20,North
46,40,50,48,94,93,105,100,Evening,Clear,None,Very High,High,40,East
16,28,32,18,33,71,65,51,Afternoon,Clear,None,Medium,Medium,30,East
43,28,55,45,98,69,123,96,Evening,Clear,None,Very High,High,50,East
33,28,32,21,74,70,74,43,Morning,Clear,None,High,High,30,North
27,54,36,16,67,108,85,47,Morning,Clear,None,High,High,50,South
31,37,30,31,68,86,67,63,Afternoon,Clear,None,High,High,40,South
43,43,32,26,100,90,76,66,Morning,Clear,None,High,High,40,North
